part_name,occurrences
31111_002_D01_1_FRONT_EDF_MOTOR_MOUNT__DROID__P2,7
31112_002_D01_1_FORWARD_DROID_MOTOR_MOUNT_CAP__DROID__P2,1
31251_000_B02_1_COTS__SCREW__M2_5__4_MM__BHS,6
31251_000_B02_1_COTS__SCREW__M2_5__4_MM__BHS_1,6
31251_000_B02_1_COTS__SCREW__M2_5__4_MM__BHS_2,6
31251_000_B02_1_COTS__SCREW__M2_5__4_MM__BHS_3,6
31251_000_B02_1_COTS__SCREW__M2_5__4_MM__BHS_4,6
31251_000_B02_1_COTS__SCREW__M2_5__4_MM__BHS_5,6
31251_000_B02_1_COTS__SCREW__M2_5__4_MM__BHS_6,6
31314_002_D01_1_BARE_FLEX__AFT_BRAIN_FLEX_HARNESS__DROID__P2,1
31315_002_D02_1_FLEX_PCBA__AFT_BRAIN_FLEX_HARNESS__DROID__P2,10
31316_002_F01_1_AFT_BRAIN_FLEX_HARNESS__DROID__P2,35
31319_001_D01_1_BARE_FLEX__FORE_FLEX_HARNESS__DROID__P2,1
31320_001_C01_1_FLEX_PCBA__FORE_FLEX_HARNESS__DROID__P2,78
31321_001_D01_1_FORE_FLEX_HARNESS__DROID__P2,113
31439_000_A01_1_COTS__M2_5_x_0_45__6MM__CAPTIVE_BELLEVILLE_WASHER,3
31439_000_A01_1_COTS__M2_5_x_0_45__6MM__CAPTIVE_BELLEVILLE_WASHER_1,3
